View Results:,Shasta,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,Beginning Page
 SAN LUIS/O'NEILL,,,,,,,,,,,,,,,,,,,,,,,,,,
F SL P/G.,,-43,-202,-232,-165,-78,66,129,181,216,150,123,83,,,,,,,,,,,,,
Federal Storage,876,816,594,341,152,54,106,224,396,604,748,865,937,,,,,,,,,,,,,
State SL P/G.,,-115,-183,-253,-64,-2,230,189,88,118,-226,-36,-18,,,,,,,,,,,,,
State Storage,898,779,592,336,268,264,492,680,767,884,658,621,602,,,,,,,,,,,,,
Total Storage,"1,774","1,596","1,186",676,421,317,598,904,"1,164","1,488","1,406","1,487","1,540",,,,,,,,,,,,,
Area (acres),,"12,160","11,802","10,722","8,683","7,223","6,446","8,280","9,717","10,655","11,538","11,341","11,538",,,,,,,,,,,,,
Elevation (ft),,508,471,418,387,372,409,443,469,498,491,498,503,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,
DELTA,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Banks,,0,0,0,24,24,24,0,0,0,0,0,0,,,,,,,,,,,,,
Contra Costa,,12.7,12.7,9.8,11.1,12.7,14.0,16.8,18.4,18.3,14.0,14.0,12.7,,,,,,,,,,,,,
Tracy,,113,74,155,273,274,260,265,245,260,205,215,221,,,,,,,,,,,,,
Total Federal Exports,,126,86,165,308,311,298,282,263,278,219,229,234,,,,,,,,,,,,,
State Banks Pumping,,105,18,17,220,278,396,404,268,260,50,215,187,,,,,,,,,,,,,
Total Exports ,,231,105,182,528,589,694,686,531,538,269,444,421,,,,,,,,,,,,,
USBR Monthly COA Account,,0.0,0.0,-25.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Accumulated COA,,25.0,25.0,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,,,,,,,,,,,,,
Computed Delta Outflow (NDOI),,"2,178",792,470,400,247,180,247,269,497,"1,065","1,316","1,573",,,,,,,,,,,,,
Excess Outflow (EO),,"1,500",242,0,0,1,1,1,1,220,696,683,872,,,,,,,,,,,,,
Freeport Flow (FF) cfs,,"34,540","11,089","11,626","17,822","16,049","15,867","14,519","12,302","14,810","18,602","26,515","26,676",,,,,,,,,,,,,
X-channel Gates,,closed,closed,open,open,open,open,open,open,closed,closed,closed,closed,,,,,,,,,,,,,
% Inflow Diverted,,9%,9%,21%,44%,54%,66%,65%,61%,51%,20%,25%,21%,,,,,,,,,,,,,
% Inflow Diverted Std,,35%,35%,35%,65%,65%,65%,65%,65%,65%,65%,45%,35%,,,,,,,,,,,,,
X2 Location (km from GG),,63.0,70.3,76.4,80.0,84.8,88.6,87.6,86.4,81.6,74.1,69.3,67.1,,,,,,,,,,,,,
X2 location Std.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiskeytown,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,,,,,,,,,,,,,,,,,,,,,,,,,,
Oroville,,,,,,,,,,,,,,,,,,,,,,,,,,
Folsom,,,,,,,,,,,,,,,,,,,,,,,,,,
New Melones,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta,,,,,,,,,,,,,,,,,,,,,,,,,,
