View Results:,Shasta,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,,,,,,,,,,,,,Beginning Page
Contra Costa,,8.9,8.9,8.9,6.9,7.8,8.9,9.8,11.8,12.9,12.8,9.8,9.8,,,,,,,,,,,,,
Tracy,,155,21,18,25,51,75,252,258,112,97,190,20,,,,,,,,,,,,,
Total Federal Exports,,164,30,27,32,66,91,269,270,125,110,200,30,,,,,,,,,,,,,
State Banks Pumping,,150,21,18,20,30,30,45,65,126,185,190,40,,,,,,,,,,,,,
Total Exports ,,314,51,46,52,96,121,314,335,251,295,390,70,,,,,,,,,,,,,
USBR Monthly COA Account,,0.0,-20.4,-13.4,46.9,25.3,11.9,27.1,0.0,0.0,-1.9,0.0,0.0,,,,,,,,,,,,,
Accumulated COA,,0.0,-20.4,-33.9,13.1,38.4,50.3,77.4,77.4,77.4,75.6,75.6,75.6,,,,,,,,,,,,,
Computed Delta Outflow (NDOI),,560,474,473,446,307,215,179,255,277,277,381,637,,,,,,,,,,,,,
Excess Outflow (EO),,106,0,0,0,0,0,0,9,9,0,104,4,,,,,,,,,,,,,
Freeport Flow (FF) cfs,,"12,349","7,261","8,097","10,638","10,081","8,814","10,337","9,282","8,221","7,899","10,305","10,489",,,,,,,,,,,,,
X-channel Gates,,closed,closed,closed,open,open,open,open,open,open,closed,closed,closed,,,,,,,,,,,,,
% Inflow Diverted,,35%,7%,6%,7%,13%,19%,46%,48%,42%,50%,53%,9%,,,,,,,,,,,,,
% Inflow Diverted Std,,35%,35%,35%,35%,65%,65%,65%,65%,65%,65%,65%,45%,,,,,,,,,,,,,
X2 Location (km from GG),,76.9,78.5,79.4,79.8,83.1,86.9,89.3,87.6,86.2,86.0,83.4,77.9,,,,,,,,,,,,,
X2 location Std.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiskeytown,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,,,,,,,,,,,,,,,,,,,,,,,,,,
Oroville,,,,,,,,,,,,,,,,,,,,,,,,,,
Folsom,,,,,,,,,,,,,,,,,,,,,,,,,,
New Melones,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta,,,,,,,,,,,,,,,,,,,,,,,,,,
